HGNC ID	Approved symbol	Accession numbers	entrezid
HGNC:5	A1BG		1.0
HGNC:37133	A1BG-AS1	BC040926	503538.0
HGNC:24086	A1CF	AF271790	29974.0
HGNC:6	A1S9T		
HGNC:7	A2M	BX647329, X68728, M11313	2.0
HGNC:27057	A2M-AS1		144571.0
HGNC:23336	A2ML1	AK057908	144568.0
HGNC:41022	A2ML1-AS1		100874108.0
HGNC:41523	A2ML1-AS2		106478979.0
HGNC:8	A2MP1	M24415	3.0
HGNC:9	A2MR		
HGNC:10	A2MRAP		
HGNC:30005	A3GALT2		127550.0
HGNC:18149	A4GALT		53947.0
HGNC:17968	A4GNT	AF141315	51146.0
HGNC:1	A12M1		
HGNC:2	A12M2		
HGNC:3	A12M3		
HGNC:4	A12M4		
HGNC:11	AA		
HGNC:13666	AAAS	AJ289841	8086.0
HGNC:12	AABT		
HGNC:13	AAC1		
HGNC:14	AAC2		
HGNC:21298	AACS	AK022451	65985.0
HGNC:18226	AACSP1		729522.0
HGNC:13792	AACT		
HGNC:17	AADAC	L32179	13.0
HGNC:24427	AADACL2	BC065724	344752.0
HGNC:50301	AADACL2-AS1		101928142.0
HGNC:32037	AADACL3		126767.0
HGNC:32038	AADACL4		343066.0
HGNC:50305	AADACP1		201651.0
HGNC:17929	AADAT	AF097994	51166.0
HGNC:25662	AAGAB	AL136715	79719.0
HGNC:19679	AAK1	AB028971	22848.0
HGNC:30205	AAMDC	BC016854	28971.0
HGNC:18	AAMP	AB209790	14.0
HGNC:19	AANAT	U40347	15.0
HGNC:15886	AAR2		25980.0
HGNC:33842	AARD	AB181519, BC140924	441376.0
HGNC:20	AARS1	D32050	16.0
HGNC:49894	AARS1P1		106480683.0
HGNC:21022	AARS2	AB033096	57505.0
HGNC:28417	AARSD1	BC004172	80755.0
HGNC:54994	AARSD1P1		117981788.0
HGNC:23993	AASDH	AF516672	132949.0
HGNC:14235	AASDHPPT	AF302110	60496.0
HGNC:17366	AASS	AF229180	10157.0
HGNC:51526	AATBC		284837.0
HGNC:19235	AATF	AF083208	26574.0
HGNC:21	AATK	AB014541	9625.0
HGNC:22	AAVS1	S51329	17.0
HGNC:49667	ABALON	KC505631	103021294.0
HGNC:23	ABAT	L32961	18.0
HGNC:24	ABC1		
HGNC:25	ABC2		
HGNC:26	ABC3		
HGNC:28	ABC7		
HGNC:27	ABC50		
HGNC:29	ABCA1	AJ012376	19.0
HGNC:32	ABCA2	U18235	20.0
HGNC:33	ABCA3	U78735	21.0
HGNC:55707	ABCA3P1		342293.0
HGNC:34	ABCA4	U88667	24.0
HGNC:35	ABCA5	U66672	23461.0
HGNC:36	ABCA6	U66680	23460.0
HGNC:37	ABCA7	AF328787	10347.0
HGNC:38	ABCA8	AB020629	10351.0
HGNC:39	ABCA9	AF423307	10350.0
HGNC:39983	ABCA9-AS1		104355297.0
HGNC:30	ABCA10	AY247065	10349.0
HGNC:31	ABCA11P	AK024359	79963.0
HGNC:14637	ABCA12	AF418105	26154.0
HGNC:14638	ABCA13	AY204751	154664.0
HGNC:32972	ABCA17P	DQ266102	650655.0
HGNC:40	ABCB1	M14758	5243.0
HGNC:11563	ABCB2		
HGNC:11564	ABCB3		
HGNC:45	ABCB4	M23234	5244.0
HGNC:46	ABCB5	U66692	340273.0
HGNC:47	ABCB6	AF070598	10058.0
HGNC:48	ABCB7	AF038950	22.0
HGNC:49	ABCB8	AF047690	11194.0
HGNC:50	ABCB9	U66676	23457.0
HGNC:41	ABCB10	U18237	23456.0
HGNC:14114	ABCB10P1	AF218417	56476.0
HGNC:31128	ABCB10P2		
HGNC:31129	ABCB10P3		728248.0
HGNC:31130	ABCB10P4		100132289.0
HGNC:42	ABCB11	AF091582	8647.0
HGNC:51	ABCC1	L05628	4363.0
HGNC:53	ABCC2	U63970	1244.0
HGNC:54	ABCC3	Y17151	8714.0
HGNC:55	ABCC4	U66682	10257.0
HGNC:56	ABCC5	AF104942	10057.0
HGNC:40055	ABCC5-AS1		100873982.0
HGNC:57	ABCC6	AF076622	368.0
HGNC:33352	ABCC6P1	BC075833	653190.0
HGNC:33353	ABCC6P2		730013.0
HGNC:58	ABCC7		
HGNC:59	ABCC8	L78207	6833.0
HGNC:60	ABCC9	AF061323	10060.0
HGNC:52	ABCC10	U66684	89845.0
HGNC:14639	ABCC11	AF367202	85320.0
HGNC:14640	ABCC12	AY040220	94160.0
HGNC:16022	ABCC13	AF418600	150000.0
HGNC:61	ABCD1	Z21876	215.0
HGNC:62	ABCD1P1	U90290	23785.0
HGNC:63	ABCD1P2	U90288	26983.0
HGNC:64	ABCD1P3	U90289	26982.0
HGNC:65	ABCD1P4	U90291	26957.0
HGNC:42662	ABCD1P5		642762.0
HGNC:66	ABCD2	U28150	225.0
HGNC:67	ABCD3	M81182	5825.0
