Feature	Module	Term
BRCC3	cluster_0	['GO:0010165']
PPP1R3C	cluster_0	['GO:0008157']
PPP1R9A	cluster_0	['GO:0008157']
RAD51	cluster_0	['GO:0000724', 'GO:0010165']
SFPQ	cluster_0	['GO:0000724']
SLX4	cluster_0	['GO:0000724']
GPM6A	cluster_1	['GO:0007416']
MAP1B	cluster_1	['GO:0007416']
DYNLRB1	cluster_100	['GO:0005874']
PLK4	cluster_100	['GO:0000086', 'GO:0010389']
TUBB4B	cluster_100	['GO:0000086', 'GO:0005874', 'GO:0010389']
INS	cluster_102	['GO:0042177']
RELA	cluster_102	['GO:0042177']
DLG1	cluster_103	['GO:0098839']
LIN7A	cluster_103	['GO:0098839']
CCL2	cluster_104	['GO:0071356']
CHUK	cluster_104	['GO:0071356']
KAT2A	cluster_104	['GO:0071356']
PPM1B	cluster_104	['GO:0030145']
PPM1M	cluster_104	['GO:0030145']
F2	cluster_105	['GO:0008083']
GAL	cluster_105	['GO:0032868']
GMFB	cluster_105	['GO:0004860', 'GO:0008083']
NRG4	cluster_105	['GO:0008083']
PARVA	cluster_105	['GO:0004860']
SIRT1	cluster_105	['GO:0032868']
CBL	cluster_107	['GO:0005154']
HIPK2	cluster_107	['GO:0001654']
MEIS2	cluster_107	['GO:0001654']
PLSCR1	cluster_107	['GO:0005154']
TNK2	cluster_107	['GO:0005154']
NEFL	cluster_108	['GO:0050772']
RHOA	cluster_108	['GO:0050772']
ATXN10	cluster_109	['GO:0031175']
CD9	cluster_109	['GO:0031623']
NEDD4	cluster_109	['GO:0031175', 'GO:0031623', 'GO:0070534']
RAPGEF2	cluster_109	['GO:0031175']
UBE2V1	cluster_109	['GO:0070534']
NOS3	cluster_11	['GO:0007005']
RGS7	cluster_11	['GO:0003924']
RHOT1	cluster_11	['GO:0003924', 'GO:0007005']
TUBD1	cluster_11	['GO:0003924']
APTX	cluster_110	['GO:0006302']
ATF2	cluster_110	['GO:0043967']
CIB1	cluster_110	['GO:0006302']
DTX3L	cluster_110	['GO:0006302']
IL33	cluster_110	['GO:0030133']
SIPA1	cluster_110	['GO:0030133']
TADA3	cluster_110	['GO:0043967']
USO1	cluster_110	['GO:0030133']
XRCC4	cluster_110	['GO:0006302']
YEATS4	cluster_110	['GO:0043967']
AMPH	cluster_111	['GO:0048488']
ATP2B2	cluster_111	['GO:0098839']
LIN7C	cluster_111	['GO:0098839']
MAP2K1	cluster_111	['GO:0004708', 'GO:1903800']
MAP2K5	cluster_111	['GO:0004708']
MYOCD	cluster_111	['GO:1903800']
SH3GL2	cluster_111	['GO:0048488']
NOTCH2	cluster_112	['GO:0000139']
OPTN	cluster_112	['GO:0000139']
SNAI1	cluster_112	['GO:0070888']
STK25	cluster_112	['GO:0000139']
ZEB1	cluster_112	['GO:0070888']
ACTL6A	cluster_113	['GO:0006310']
CCR6	cluster_113	['GO:0010634']
PLCG2	cluster_113	['GO:0010634']
UCHL5	cluster_113	['GO:0006310']
CASC3	cluster_114	['GO:0000184']
RPL5	cluster_114	['GO:0000184']
DCP1A	cluster_115	['GO:0000184']
GSPT2	cluster_115	['GO:0000184']
HHEX	cluster_116	['GO:0006406']
SRSF1	cluster_116	['GO:0006406']
AR	cluster_117	['GO:0030520']
ARFGEF2	cluster_117	['GO:0005085']
CDH5	cluster_117	['GO:0035307']
DDX17	cluster_117	['GO:0030520']
DOCK7	cluster_117	['GO:0005085']
GEMIN5	cluster_117	['GO:0000398']
PCBP1	cluster_117	['GO:0000398']
PCBP2	cluster_117	['GO:0000398']
RALGDS	cluster_117	['GO:0005085']
RBM4	cluster_117	['GO:0000398', 'GO:0017148']
RGS2	cluster_117	['GO:0017148']
SH3BP5	cluster_117	['GO:0005085']
SMPD1	cluster_117	['GO:0035307']
TYMS	cluster_117	['GO:0017148']
GRIA2	cluster_119	['GO:2000310']
OCLN	cluster_119	['GO:0001933', 'GO:0045216']
PPARGC1A	cluster_119	['GO:0001933', 'GO:2000310']
TGFB1	cluster_119	['GO:0001933', 'GO:0045216']
CLOCK	cluster_12	['GO:0043161']
FBXW11	cluster_12	['GO:0043161']
PSMC5	cluster_12	['GO:0043161']
RNF4	cluster_12	['GO:0043161']
SIAH1	cluster_12	['GO:0043161']
SMURF1	cluster_12	['GO:0043161']
MIF	cluster_120	['GO:0042056']
VEGFC	cluster_120	['GO:0042056']
DDIT3	cluster_121	['GO:0051898']
EGLN1	cluster_121	['GO:0045765']
EPHA2	cluster_121	['GO:0033628', 'GO:0045765', 'GO:0051898']
ITGB1BP1	cluster_121	['GO:0033628']
TRIB3	cluster_121	['GO:0051898']
GSN	cluster_122	['GO:0045335', 'GO:0048015']
PIK3CB	cluster_122	['GO:0048015']
RAP1A	cluster_122	['GO:0045335']
TBP	cluster_122	['GO:0006361', 'GO:0006362', 'GO:0006363']
UBTF	cluster_122	['GO:0006361', 'GO:0006362', 'GO:0006363']
MAFA	cluster_123	['GO:0045944']
MAVS	cluster_123	['GO:0032727', 'GO:0032760', 'GO:0045944', 'GO:0060340']
MMP12	cluster_123	['GO:0032727', 'GO:0045944', 'GO:0060340']
NFATC4	cluster_123	['GO:0032760', 'GO:0045944']
PF4	cluster_123	['GO:0032760', 'GO:0045944']
ARNT	cluster_124	['GO:0061418']
EGLN2	cluster_124	['GO:0061418']
ARAP1	cluster_126	['GO:0045742']
DGKD	cluster_126	['GO:0045742']
GCNT1	cluster_126	['GO:0032868']
IL10	cluster_126	['GO:0032868']
NDN	cluster_126	['GO:0048011']
SORT1	cluster_126	['GO:0032868', 'GO:0048011']
BLK	cluster_127	['GO:0030889']
BTK	cluster_127	['GO:0030889']
CKAP4	cluster_127	['GO:0035577']
LMTK2	cluster_127	['GO:0032515']
PPP1R14A	cluster_127	['GO:0032515']
VAPA	cluster_127	['GO:0035577']
HNRNPU	cluster_128	['GO:0003725']
TLR3	cluster_128	['GO:0003725']
ERBB4	cluster_129	['GO:0000976']
SUV39H1	cluster_129	['GO:0000976']
APH1A	cluster_13	['GO:0016485', 'GO:0031293']
APH1B	cluster_13	['GO:0016485', 'GO:0031293']
ASCL1	cluster_13	['GO:0050767']
CACNB2	cluster_13	['GO:0007601']
CDC14B	cluster_13	['GO:0035335']
DLL1	cluster_13	['GO:0050767']
DUSP19	cluster_13	['GO:0035335']
GJC1	cluster_13	['GO:0007601']
LRP6	cluster_13	['GO:0071542']
OGT	cluster_13	['GO:0016485']
