protein:	color
SHMT2	0
GLDC	0
GCSH	0
DHFRL1	0
SDSL	0
FOXRED1	0
AMT	0
LIPT1	0
ATIC	0
GGH	0
GSR	0
TXNRD3	0
MTHFD2	0
DMGDH	0
FPGS	0
NXNL1	0
SDS	0
SRR	0
DHFR	0
MTHFD1L	0
AGXT	0
LIPT2	0
MTHFS	0
LIAS	0
TXNRD1	0
BHMT2	0
TTC38	0
MTHFD2L	0
PSPH	0
NXNL2	0
PDPR	0
MTHFR	0
SARDH	0
SHMT1	0
BHMT	0
MTHFD1	0
TXNRD2	0
SLC22A4	1
SVOPL	1
SLC22A13	1
SVOP	1
SLC22A5	1
SLC22A16	1
SLC22A15	1
SFTPD	2
C1QTNF9	2
MARCO	2
C1QTNF9B	2
COLEC10	2
OTOL1	2
SCGB3A1	2
BPIFB1	2
COLEC11	2
DNAH5	3
DNAH3	3
DYNC2H1	3
DNAH6	3
DNAH12	3
DNAH1	3
DNAH11	3
CCDC37	3
DNAH7	3
C20orf26	3
DNAH8	3
DNAH17	3
DNAH10	3
SPATA18	3
DNAH9	3
DNHD1	3
DNAH2	3
APOBEC4	4
GFRAL	4
SIRT5	4
CHODL	4
PTPRCAP	4
LETMD1	5
REEP4	5
REEP6	5
REEP1	5
REEP5	5
COX19	5
KIAA1715	5
VMP1	5
REEP3	5
EMC4	6
EMC7	6
MMGT1	6
EMC6	6
EMC10	6
EMC9	6
EMC8	6
EMC2	6
EMC3	6
EMC1	6
IFNA5	7
IFNA6	7
IFNA21	7
IFNA17	7
IFNA14	7
IFNA8	7
IFNA16	7
IFNA10	7
IFNA7	7
IFNA4	7
IFNA2	7
ERG	8
NLRP10	8
FAM174B	8
SLC43A1	8
AR	8
APOL2	8
ARMC12	8
SLC45A3	8
STXBP5	9
CHRNB3	9
LYPD1	9
CHRNB1	9
CHRND	9
CHRNB2	9
CHRNA9	9
CHRNA3	9
CHRNA5	9
CHRNA7	9
CHRNB4	9
CHRNA4	9
CHRNA6	9
CHRNE	9
CHRNA2	9
CHRNG	9
SULF2	10
ARSG	10
ARSF	10
ARSJ	10
GALNS	10
IDS	10
ARSE	10
ARSK	10
ARSH	10
ARSD	10
ARSI	10
SULF1	10
ABHD6	11
SHISA6	11
SHISA9	11
PORCN	11
GRID1	11
OLFM3	11
GRIK5	11
NETO2	11
GRID2	11
OLFM1	11
VWC2	11
NRN1	11
OLFM2	11
VWC2L	11
GRIK4	11
NETO1	11
LAMC1	12
MEGF9	12
RAPSN	12
LAMB3	12
MMP20	12
SV2A	12
LRP5L	12
DAG1	12
LAMB2	12
SV2C	12
CHRNA1	12
LAMA5	12
LAMB1	12
LAMC2	12
LAMA3	12
LAMA2	12
LAMC3	12
THSD4	12
GIT2	12
GPR78	13
GPR139	13
GPR148	13
GPR85	13
GPR150	13
CCDC88B	13
GPR83	13
GPR62	13
KIF19	14
KIF6	14
KIF13A	14
KIF12	14
KIF18B	14
KIFC2	14
KIF17	14
KIF22	14
KIF27	14
KIF15	14
STARD9	14
KIF16B	14
KIF13B	14
KIF5A	14
KIF1C	14
KIF26B	14
KIF3A	14
KIF3B	14
KIFC3	14
KIF25	14
KIF21A	14
KIF1B	14
KIF5C	14
KIF21B	14
KIF9	14
KIF1A	14
KIF3C	14
KIF24	14
KIFC1	14
KIF5B	14
KIF7	14
KIF4B	14
KIF14	14
KIF26A	14
SLC31A1	15
RHBDD2	15
CTNS	15
RHBDD3	15
RHBDD1	15
CC2D2A	16
TMEM216	16
B9D1	16
TMEM67	16
AHI1	16
TCTN1	16
TMEM17	16
TMEM231	16
TCTN2	16
MKS1	16
TMEM225	17
PPP1R10	17
CASC1	17
TMEM132C	17
CSRNP3	17
PPP1CA	17
SLC45A1	17
PPP1R35	17
LMTK3	17
ZSWIM3	17
PPP1R32	17
PPP1R36	17
HPSE	18
IDUA	18
HS3ST6	18
HS3ST2	18
HS3ST3B1	18
HS6ST2	18
GLCE	18
HS6ST1	18
HS3ST1	18
HS3ST5	18
HPSE2	18
HS3ST3A1	18
REM2	19
RALA	19
RAB25	19
RRAD	19
RRAS	19
DIRAS2	19
DIRAS1	19
RND3	19
RAP2C	19
RND1	19
RASL10B	19
RIT1	19
RASL12	19
RHOBTB3	19
RALB	19
RHEBL1	19
RABL2B	19
REM1	19
ERAS	19
RRAS2	19
RIT2	19
RERGL	19
RERG	19
RASD2	19
RASL11A	19
GEM	19
RASD1	19
MRAS	19
RND2	19
RAP2A	19
RAP2B	19
RASL10A	19
RHEB	19
RASL11B	19
DIRAS3	19
RABL2A	19
RSG1	19
SIAE	20
GAL3ST1	20
NEU3	20
NEU2	20
NEU4	20
RENBP	20
NEU1	20
F2RL3	21
LPAR6	21
XCR1	21
ADRA1B	21
CHRM5	21
P2RY2	21
AGTR1	21
LPAR4	21
HCRTR1	21
CHRM3	21
TRH	21
NTSR1	21
PTGER1	21
ADRBK1	21
ADCK3	22
ADCK5	22
COQ9	22
ADCK4	22
ADCK1	22
COQ3	22
COQ4	22
ADCK2	22
COQ7	22
COQ5	22
TMUB2	23
NINJ2	23
TMEM86A	23
TMEM128	23
TMEM86B	23
BCL2L13	23
USP17L24	24
USP17L27	24
USP17L30	24
USP17L15	24
USP17L29	24
USP17L25	24
USP17L10	24
USP17L2	24
USP17L26	24
USP17L23	24
USP17L18	24
USP17L12	24
USP17L13	24
USP17L19	24
USP17L17	24
USP42	24
USP17L20	24
USP17L21	24
USP17L11	24
USP17L5	24
USP17L22	24
USP17L28	24
USP36	24
GJB3	25
GJB1	25
GJA10	25
GJA9	25
GJE1	25
GJD3	25
GJB5	25
GJD2	25
GJA3	25
GJC2	25
GJD4	25
GJC1	25
GJB7	25
GJB6	25
GJA4	25
GJA5	25
GJB4	25
GJC3	25
CNST	25
GJB2	25
APCS	26
NPPA	26
CST3	26
TGFBI	26
LYZ	26
GSN	26
MFGE8	26
ITM2B	26
ODAM	26
SEMG1	26
TTR	26
LTF	26
SCN2A	27
SCN5A	27
SCN3A	27
SCN11A	27
SCN10A	27
SCN4B	27
SCN1B	27
SCN9A	27
SCN2B	27
SCN8A	27
SCN4A	27
SCN7A	27
SCN3B	27
STAG3	28
TEX12	28
SYCP2	28
SYCP2L	28
SUN1	28
SYCP1	28
SYCE2	28
LRRC25	28
SUN2	28
TINF2	28
SYCE1	28
SYCP3	28
ACD	28
AMPD1	29
NT5C2	29
NT5C3	29
NT5E	29
NUDT16	29
NT5M	29
ADK	29
HPRT1	29
ENTPD6	29
NT5C1B-RDH14	29
AMPD3	29
ENTPD4	29
AMPD2	29
NT5C	29
CANT1	29
NT5C1A	29
ENTPD5	29
NKRF	30
ZNF768	30
ZIC3	30
KLF10	30
MAZ	30
ZNF281	30
ZSCAN10	30
ZNF687	30
ZNF44	30
KLF11	30
RREB1	30
ZBTB43	30
PRDM14	30
CTCFL	30
PATZ1	30
MECOM	30
E4F1	30
KLF6	30
KLF1	30
PRDM4	30
REPIN1	30
ZBTB10	30
SCAND3	30
GLIS2	30
NACC1	30
ZNF436	30
KLF3	30
ZNF408	30
ZNF362	30
ZIC1	30
ZNF384	30
ZNF131	30
PRR7	30
ZNF350	30
KLF8	30
PRDM8	30
ZFP91	30
ZNF335	30
FEZF2	30
KLF9	30
NACC2	30
PLAGL1	30
HIC1	30
C7orf34	30
HIVEP2	30
ZSCAN1	30
PRDM5	30
ZBTB22	30
ZNF274	30
KLF2	30
KLF13	30
ZBTB8A	30
PRDM16	30
GFI1	30
KLF16	30
ZFP161	30
ZBTB3	30
ZBTB7B	30
REST	30
BCL6B	30
BCL11A	30
ZNF135	30
ZNF592	30
EGR3	30
ZFPM1	30
ZIC2	30
ZNF469	30
ZNF16	30
ZNF423	30
IKZF5	30
GFI1B	30
BCL11B	30
SP4	30
ZBTB7A	30
PLAG1	30
ZNF827	30
ZBTB32	30
ZNF569	30
ZNF148	30
ZNF496	30
ZFPM2	30
ZNF167	30
ZNF629	30
ZNF501	30
WIZ	30
ZNF473	30
PEG3	30
SP2	30
ATMIN	30
ZNF763	30
KRBA1	31
FSCB	31
RGS22	31
CABYR	31
GSK3B	31
FAM21C	32
CCDC53	32
WASH6P	32
FAM21D	32
FAM21B	32
WASH4P	32
FAM21A	32
KIAA1033	32
KIAA0196	32
APOBEC1	33
APOBEC3G	33
APOBEC3F	33
APOBEC3D	33
A1CF	33
LEPROT	34
TMEM50B	34
TMEM50A	34
C7orf43	34
TMEM179	34
LEPROTL1	34
PPAPDC2	34
BAK1	35
BCL2L14	35
PPP1R11	35
LRRC59	35
IGFALS	35
BCL2A1	35
SATL1	35
GP1BA	35
CAB39L	35
GP5	35
